dataset_name,random_state,cm_tr,cm_ts
wf4f,614349878,"[1398  361    0    5    1 1662   14    0  165   30   67    0  606   35
    0   20]",[361  77   0   3   0 416   4   0  46   3  17   0 151   8   0   6]
wf4f,390873262,"[1410  347    0    7    1 1659   17    0  170   27   65    0  613   30
    0   18]",[352  88   0   1   0 419   1   0  41   6  19   0 146  13   0   6]
wf24f,2070448984,"[1487  265    0   12  457 1216    1    3  181   68   13    0  472  126
    0   63]",[360  80   0   1 103 316   1   0  41  24   1   0 120  34   0  11]
wf24f,913970101,"[1496  257    0   11  475 1194    2    6  166   70   26    0  466  116
    0   79]",[382  54   0   5 110 308   0   2  40  21   5   0 129  21   0  15]
wf24f,172788376,"[1521  231    0   12  456 1212    1    8  162   75   25    0  479  114
    0   68]",[372  67   0   2 130 288   2   0  45  19   2   0 118  30   0  17]
wf24f,844867540,"[1495  259    0   10  458 1214    2    3  174   70   18    0  479  126
    0   56]",[373  68   0   0 120 300   0   0  41  21   4   0 114  28   0  23]
wf24f,1448292546,"[1486  271    0    7  438 1233    2    4  181   72    9    0  466  131
    0   64]",[361  76   0   4 108 312   0   0  46  17   3   0 118  28   0  19]
wf24f,1717248433,"[1491  258    0   15  444 1228    2    3  185   66   11    0  461  125
    0   75]",[371  68   0   2 138 279   1   2  48  17   1   0 110  35   0  20]
wf4f,1687681813,"[1415  344    0    5    3 1660   14    0  166   27   69    0  600   37
    0   24]",[361  77   0   3   0 416   4   0  43   8  15   0 150   9   0   6]
wf4f,1565921456,"[1418  340    0    6    1 1660   16    0  169   28   65    0  605   33
    0   23]",[360  79   0   2   0 418   2   0  42   5  19   0 153  10   0   2]
wf24f,173714041,"[1488  267    0    9  448 1225    2    2  165   71   26    0  495  117
    0   49]",[379  62   0   0 125 295   0   0  44  19   3   0 122  32   0  11]
wf4f,43597691,"[1420  337    0    7    1 1663   13    0  167   27   68    0  611   37
    0   13]",[369  71   0   1   0 415   5   0  45   5  16   0 150   6   0   9]

wf24f,1980932681,"[1495  255    0   14  465 1208    1    3  178   70   14    0  472  122
    0   67]",[386  53   0   2 128 290   1   1  49  12   5   0 114  29   0  22]
wf24f,63040297,"[1475  275    0   14  447 1226    1    3  181   71   10    0  472  126
    0   63]",[374  66   0   1 117 301   0   2  49  14   3   0 119  28   0  18]

wf24f,318237287,"[1492  260    0   12  474 1198    2    3  169   76   17    0  484  108
    0   69]",[393  46   0   2 137 282   0   1  49  15   2   0 113  37   0  15]
wf24f,226674600,"[1501  255    0    8  455 1212    2    8  174   79    9    0  492  122
    0   47]",[364  75   0   2 121 298   0   1  48  15   3   0 129  21   0  15]
wf4f,2063848834,"[1423  337    0    4    1 1663   13    0  171   23   68    0  586   50
    0   25]",[342  95   0   4   0 415   5   0  38  12  16   0 148  12   0   5]
wf4f,1429796205,"[1436  321    0    7    2 1661   14    0  162   32   68    0  604   40
    0   17]",[343  97   0   1   1 415   4   0  48   2  16   0 147  14   0   4]
wf24f,730575025,"[1498  251    0   15  454 1216    2    5  172   72   18    0  456  126
    0   79]",[386  54   0   1 134 284   1   1  41  23   2   0 116  34   0  15]
wf24f,1675535513,"[1502  250    0   12  465 1208    2    2  170   65   27    0  455  122
    0   84]",[377  60   0   4 112 307   0   1  43  17   6   0 121  30   0  14]
